run_id,timestamp,chunker,chunk_size,chunk_overlap,vector_store,retriever,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10,avg_context_precision,avg_context_recall,avg_latency_ms,status,top_k,embedding_model,rerank_model,rerank_fetch_k,rerank_score_threshold,include_ragas,error,include_generation,generation_model,avg_faithfulness,avg_answer_relevancy,avg_answer_correctness
bfaa1a3a,2026-08-26T03:53:52.343939+00:00,recursive,700,120,faiss,vector,0.4,0.6666666666666666,0.8,0.8,0.5372222222222223,0.5933017477011301,,,5.914343336674695,done,,,,,,,,,,,,
d32d210d,2026-08-26T07:44:23.442054+00:00,recursive,700,120,chroma,hybrid_reranked,0.7333333333333333,0.8,0.9,0.9,0.79,0.8143262073224143,0.9014814814424574,0.9833333333333332,1543.85346332953,done,,,,,,,,,,,,
c1f4515f,2026-08-26T07:48:45.078237+00:00,recursive,700,120,chroma,hybrid,0.5666666666666667,0.8,0.8,0.8,0.6722222222222223,0.6948567029010102,,,6.491409994972249,done,,,,,,,,,,,,
e6f49974,2026-08-26T07:57:28.687110+00:00,recursive,700,120,chroma,hybrid_reranked,0.7333333333333333,0.8,0.9,0.9,0.79,0.8143262073224143,0.9003703703317307,0.9666666666666668,1577.88640333456,done,,,,,,,,,,,,
0291afce,2026-08-26T08:00:02.461010+00:00,recursive,900,100,chroma,hybrid,0.6,0.8,0.8666666666666667,0.8666666666666667,0.7022222222222222,0.7463022710703804,,,4.737953331399088,done,,,,,,,,,,,,
6fb0f828,2026-08-26T08:06:15.806222+00:00,recursive,900,100,chroma,hybrid_reranked,0.7,0.8,0.8,0.8,0.7444444444444445,0.7467335352139968,0.8884259258884389,0.9333333333333332,2330.7101133357114,done,,,,,,,,,,,,
ff3d55f3,2026-08-26T08:08:38.438531+00:00,semantic,700,120,chroma,hybrid,,,,failed,,,,,,,,,,,,,,,,,,
12902f4e,2026-08-26T09:18:48.056050+00:00,semantic,700,120,chroma,hybrid_reranked,0.6666666666666666,0.8,0.8333333333333334,0.8333333333333334,0.7416666666666667,0.7640501547363455,,,2546.696523334443,done,,,,,,,,,,,,
d305939b,2026-08-26T09:27:54.715224+00:00,semantic,700,120,chroma,hybrid_reranked,0.6666666666666666,0.8,0.8333333333333334,0.8333333333333334,0.7416666666666667,0.7640501547363455,,,4036.908869994416,done,,,,,,,,,,,,
1564cf3d,2026-08-26T09:42:05.164514+00:00,recursive,500,120,chroma,hybrid_reranked,0.5666666666666667,0.7,0.8,0.8,0.6472222222222223,0.6874843633439471,,,963.2668100045216,done,,,,,,,,,,,,
af19778e,2026-08-26T09:47:52.118115+00:00,recursive,600,120,chroma,hybrid_reranked,0.4666666666666667,0.7333333333333333,0.7666666666666667,0.7666666666666667,0.5955555555555555,0.6390810442887762,,,1093.0511999991722,done,,,,,,,,,,,,
aa4cc957,2026-08-26T09:51:40.859905+00:00,recursive,700,120,faiss,hybrid_reranked,0.7333333333333333,0.8,0.9,0.9,0.79,0.8143262073224143,,,2096.5139133370635,done,,,,,,,,,,,,
e0fa26d8,2026-08-26T09:56:01.717005+00:00,recursive,800,120,faiss,hybrid_reranked,0.6333333333333333,0.8666666666666667,0.9,0.9,0.7288888888888889,0.771968866623888,,,1929.55611665966,done,,,,,,,,,,,,
0944fa95,2026-08-26T10:02:21.971431+00:00,recursive,750,120,chroma,hybrid_reranked,0.6666666666666666,0.8333333333333334,0.8666666666666667,0.8666666666666667,0.7511111111111111,0.7769802264304314,,,1476.8155466551736,done,,,,,,,,,,,,
bb1894e2,2026-08-26T10:05:05.243055+00:00,recursive,650,120,chroma,hybrid_reranked,0.6,0.7333333333333333,0.7666666666666667,0.7666666666666667,0.6677777777777778,0.6936535567161299,,,1329.7749866653855,done,,,,,,,,,,,,
fe244404,2026-08-26T10:10:03.684645+00:00,recursive,700,120,chroma,hybrid_reranked,0.7333333333333333,0.8,0.9,0.9,0.79,0.8143262073224143,0.9142592592211196,0.9833333333333332,1505.734326671033,done,,,,,,,,,,,,
6118cd3b,2026-08-26T10:18:12.771234+00:00,recursive,700,120,faiss,vector,0.4,0.6666666666666666,0.8,0.8,0.5372222222222223,0.5933017477011301,,,5.6927533354610205,done,5.0,BAAI/bge-small-en-v1.5,,,,False,,,,,,
52e1516d,2026-08-26T10:42:05.459235+00:00,recursive,700,120,chroma,hybrid_reranked,0.7333333333333333,0.8,0.9,0.9,0.79,0.8143262073224143,,,963.7621433260696,done,5.0,BAAI/bge-small-en-v1.5,cross-encoder/ms-marco-MiniLM-L-12-v2,15.0,0.5,False,,True,gpt-4o-mini,0.8369444444444444,0.8915698845923372,0.6887721263682924
9f819c42,2026-08-26T11:30:22.212788+00:00,recursive,700,120,chroma,hybrid_reranked,0.7333333333333333,0.8,0.9,0.9,0.79,0.8143262073224143,,,2220.833946665516,done,5.0,BAAI/bge-small-en-v1.5,cross-encoder/ms-marco-MiniLM-L-12-v2,15.0,0.5,False,,True,gpt-4o-mini,0.8544444444444445,0.9178447824865882,0.6881190133259523
8b438e04,2026-08-26T18:01:03.991989+00:00,recursive,700,120,chroma,hybrid_reranked_expanded,0.7666666666666667,0.8666666666666667,0.9,0.9,0.8066666666666666,0.8364442392240145,0.9672222221976389,0.9722222222222221,1221.288469992578,done,5.0,BAAI/bge-small-en-v1.5,,,,True,,True,gpt-4o-mini,0.9199999999999999,0.9458420116211659,0.6935004038852063
