loader,question_id,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10
pypdf,gd_001,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
pypdf,gd_002,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_003,0.0,1.0,1.0,1.0,0.5,0.6052602440527057
pypdf,gd_004,0.0,0.0,0.0,1.0,0.14285714285714285,0.3333333333333333
pypdf,gd_005,1.0,1.0,1.0,1.0,1.0,0.9674679834891693
pypdf,gd_006,1.0,1.0,1.0,1.0,1.0,0.7903864795495061
pypdf,gd_007,0.0,1.0,1.0,1.0,0.3333333333333333,0.6039071644781281
pypdf,gd_008,1.0,1.0,1.0,1.0,1.0,0.8988898126139723
pypdf,gd_009,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_010,1.0,1.0,1.0,1.0,1.0,0.8772153153380493
pypdf,gd_011,0.0,1.0,1.0,1.0,0.5,0.6504262607311477
pypdf,gd_012,1.0,1.0,1.0,1.0,1.0,0.7988614740430418
pypdf,gd_013,0.0,1.0,1.0,1.0,0.5,0.6340499455108034
pypdf,gd_014,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_015,1.0,1.0,1.0,1.0,1.0,0.9217868789962071
pypdf,gd_016,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_017,1.0,1.0,1.0,1.0,1.0,0.9828920819566879
pypdf,gd_018,1.0,1.0,1.0,1.0,1.0,0.8772153153380493
pypdf,gd_019,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_020,1.0,1.0,1.0,1.0,1.0,0.86034433104172
pypdf,gd_021,1.0,1.0,1.0,1.0,1.0,0.9674679834891693
pypdf,gd_022,1.0,1.0,1.0,1.0,1.0,0.7737459235132745
pypdf,gd_023,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
pypdf,gd_024,1.0,1.0,1.0,1.0,1.0,0.9010126104210695
pypdf,gd_025,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
pypdf,gd_026,1.0,1.0,1.0,1.0,1.0,1.0
pypdf,gd_027,0.0,0.0,0.0,1.0,0.16666666666666666,0.3562071871080222
pypdf,gd_028,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
pypdf,gd_029,1.0,1.0,1.0,1.0,1.0,0.9010126104210695
pypdf,gd_030,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_001,0.0,1.0,1.0,1.0,0.5,0.6309297535714575
docling,gd_002,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_003,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_004,0.0,0.0,0.0,0.0,0.0,0.0
docling,gd_005,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_006,1.0,1.0,1.0,1.0,1.0,0.8315546295836225
docling,gd_007,0.0,1.0,1.0,1.0,0.3333333333333333,0.6746579650586143
docling,gd_008,1.0,1.0,1.0,1.0,1.0,0.9279611693743142
docling,gd_009,1.0,1.0,1.0,1.0,1.0,0.8529278650606567
docling,gd_010,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_011,1.0,1.0,1.0,1.0,1.0,0.9267582364714125
docling,gd_012,0.0,1.0,1.0,1.0,0.5,0.6934264036172708
docling,gd_013,1.0,1.0,1.0,1.0,1.0,0.9469024295259745
docling,gd_014,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_015,1.0,1.0,1.0,1.0,1.0,0.7988614740430418
docling,gd_016,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_017,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_018,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
docling,gd_019,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_020,1.0,1.0,1.0,1.0,1.0,0.9469024295259745
docling,gd_021,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_022,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_023,0.0,1.0,1.0,1.0,0.5,0.6052602440527057
docling,gd_024,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_025,1.0,1.0,1.0,1.0,1.0,0.8315546295836225
docling,gd_026,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_027,0.0,1.0,1.0,1.0,0.3333333333333333,0.5249810332008933
docling,gd_028,1.0,1.0,1.0,1.0,1.0,1.0
docling,gd_029,1.0,1.0,1.0,1.0,1.0,0.8503449055347546
docling,gd_030,1.0,1.0,1.0,1.0,1.0,1.0
